mut_1,mut_2,mut_3,count,gene_name_1,gene_name_2,gene_name_3,amenable_1,amenable_2,amenable_3,all_amenable,mouse_variant_1,mouse_variant_2,mouse_variant_3,all_mouse
AACR-H0000316-M01,AACR-H0000122-M01,AACR-H0000238-M01,95,SF3B1,PDGFRA,NPM1,True,True,False,False,True,True,,False
AACR-H0000158-M01,AACR-H0000118-M01,AACR-H0000537-M01,95,NOTCH1,SRSF2,SETBP1,True,True,False,False,True,True,,False
AACR-H0000147-M01,AACR-H0000368-M01,AACR-H0000215-M01,95,NRAS,KIT,NOTCH1,True,True,False,False,True,True,True,True
AACR-H0000145-M01,AACR-H0000123-M01,AACR-H0000537-M01,95,GATA2,SMC3,SETBP1,True,True,False,False,True,True,,False
AACR-H0000172-M01,AACR-H0000393-M01,AACR-H0000158-M01,95,CBLB,JAK2,NOTCH1,True,False,True,False,True,,True,False
AACR-H0000250-M01,AACR-H0000136-M01,AACR-H0000336-M01,95,PTEN,FLT3,JAK3,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000579-M01,AACR-H0000136-M01,95,CBLB,PDGFRA,FLT3,False,False,True,False,,,True,False
AACR-H0000124-M01,AACR-H0000640-M01,AACR-H0000118-M01,95,CBLB,WT1,SRSF2,False,False,True,False,,,True,False
AACR-H0000316-M01,AACR-H0000124-M01,AACR-H0000251-M01,95,SF3B1,CBLB,CUX1,True,False,True,False,True,,True,False
AACR-H0000316-M01,AACR-H0000124-M01,AACR-H0000258-M01,95,SF3B1,CBLB,CUX1,True,False,True,False,True,,True,False
AACR-H0000124-M01,AACR-H0000579-M01,AACR-H0000137-M01,95,CBLB,PDGFRA,SRSF2,False,False,True,False,,,True,False
AACR-H0000172-M01,AACR-H0000325-M01,AACR-H0000226-M01,95,CBLB,CBL,ZRSR2,True,False,False,False,True,,True,False
AACR-H0000586-M01,AACR-H0000133-M01,AACR-H0000132-M01,95,GATA2,CUX1,RUNX1,True,True,False,False,True,True,,False
AACR-H0000124-M01,AACR-H0000600-M01,AACR-H0000142-M01,95,CBLB,NPM1,CUX1,False,True,False,False,,True,,False
AACR-H0000579-M01,AACR-H0000133-M01,AACR-H0000132-M01,95,PDGFRA,CUX1,RUNX1,False,True,False,False,,True,,False
AACR-H0000316-M01,AACR-H0000251-M01,AACR-H0000136-M01,95,SF3B1,CUX1,FLT3,True,True,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000258-M01,AACR-H0000250-M01,95,CSF3R,CUX1,PTEN,True,True,False,False,True,True,,False
AACR-H0000185-M01,AACR-H0000345-M01,AACR-H0000203-M01,95,CSF3R,PDGFRA,SETBP1,True,False,False,False,True,,,False
AACR-H0000124-M01,AACR-H0000393-M01,AACR-H0000226-M01,95,CBLB,JAK2,ZRSR2,False,False,False,False,,,True,False
